"","term","gene"
"2","Treg","NT5E"
"3","Treg","CD3D"
"4","Treg","CD3G"
"5","Treg","CD3E"
"6","Treg","CD4"
"7","Treg","CD5"
"8","Treg","ENTPD1"
"9","Treg","CTLA4"
"10","Treg","IZUMO1R"
"11","Treg","TNFRSF18"
"12","Treg","IL2RA"
"13","Treg","ITGAE"
"14","Treg","LAG3"
"15","Treg","TGFB1"
"16","Treg","LRRC32"
"17","Treg","TNFRSF4"
"18","Treg","SELL"
"19","Treg","FOXP3"
"20","Treg","STAT5A"
"21","Treg","STAT5B"
"22","Treg","LGALS1"
"23","Treg","IL10"
"24","Treg","IL12A"
"25","Treg","EBI3"
"26","Treg","TGFB1"
"27","CD8 T Cell Activation","CD69"
"28","CD8 T Cell Activation","CCR7"
"29","CD8 T Cell Activation","CD27"
"30","CD8 T Cell Activation","BTLA"
"31","CD8 T Cell Activation","CD40LG"
"32","CD8 T Cell Activation","IL2RA"
"33","CD8 T Cell Activation","CD3E"
"34","CD8 T Cell Activation","CD47"
"35","CD8 T Cell Activation","EOMES"
"36","CD8 T Cell Activation","GNLY"
"37","CD8 T Cell Activation","GZMA"
"38","CD8 T Cell Activation","GZMB"
"39","CD8 T Cell Activation","PRF1"
"40","CD8 T Cell Activation","IFNG"
"41","CD8 T Cell Activation","CD8A"
"42","CD8 T Cell Activation","CD8B"
"43","CD8 T Cell Activation","CD95L"
"44","CD8 T Cell Activation","LAMP1"
"45","CD8 T Cell Activation","LAG3"
"46","CD8 T Cell Activation","CTLA4"
"47","CD8 T Cell Activation","HLA-DRA"
"48","CD8 T Cell Activation","TNFRSF4"
"49","CD8 T Cell Activation","ICOS"
"50","CD8 T Cell Activation","TNFRSF9"
"51","CD8 T Cell Activation","TNFRSF18"
"52","Anti-inflammatory","TIGIT"
"53","Anti-inflammatory","IDO1"
"54","Anti-inflammatory","LGALS3"
"55","Anti-inflammatory","PDCD1"
"56","Anti-inflammatory","FOXP3"
"57","Anti-inflammatory","ENTPD1"
"58","Anti-inflammatory","CD274"
"59","Anti-inflammatory","CSF2"
"60","Anti-inflammatory","CTLA4"
"61","Anti-inflammatory","CXCL12"
"62","Anti-inflammatory","CXCL5"
"63","Anti-inflammatory","IL8"
"64","Anti-inflammatory","MIF"
"65","Anti-inflammatory","PTGS2"
"66","Anti-inflammatory","VEGFA"
"67","Anergy","EGR3"
"68","Anergy","NR4A3"
"69","Anergy","EGR1"
"70","Anergy","NR4A2"
"71","Anergy","EGR2"
"72","Anergy","TNFSF11"
"73","Anergy","IRF4"
"74","Anergy","GCH1"
"75","Anergy","GADD45B"
"76","Anergy","NFATC1"
"77","Anergy","JARID2"
"78","Anergy","SLC29A3"
"79","Anergy","HLF"
"80","Anergy","ZFP36L1"
"81","Anergy","RNF19A"
"82","Anergy","ADORA2B"
"83","Anergy","CCRN41"
"84","Anergy","DUSP6"
"85","Anergy","NDRG1"
"86","Anergy","ADORA2A"
"87","Anergy","HSPA1A"
"88","Anergy","PFKP"
"89","Anergy","FYN"
"90","Anergy","CTSE"
"91","Anergy","ZFP629"
"92","Anergy","F2R"
