,tissueType,cellName,CellMarker,shortName,type
1,Immune system,Pro-B cells,CD27,Pro-B,B_cell
2,Immune system,Pro-B cells,IgD,Pro-B,B_cell
3,Immune system,Pro-B cells,CD24,Pro-B,B_cell
4,Immune system,Pro-B cells,PTPRC,Pro-B,B_cell
5,Immune system,Pro-B cells,PAX5,Pro-B,B_cell
6,Immune system,Pro-B cells,CD24,Pro-B,B_cell
7,Immune system,Pro-B cells,CD38,Pro-B,B_cell
8,Immune system,Pro-B cells,CD79A,Pro-B,B_cell
9,Immune system,Pro-B cells,DNTT,Pro-B,B_cell
10,Immune system,Pro-B cells,C10orf10,Pro-B,B_cell
11,Immune system,Pro-B cells,VPREB1,Pro-B,B_cell
12,Immune system,Pro-B cells,ARPP21,Pro-B,B_cell
13,Immune system,Pro-B cells,CD99,Pro-B,B_cell
14,Immune system,Pro-B cells,IGLL1,Pro-B,B_cell
15,Immune system,Pro-B cells,CD9,Pro-B,B_cell
16,Immune system,Pro-B cells,CD79B,Pro-B,B_cell
17,Immune system,Pro-B cells,TCL1A,Pro-B,B_cell
18,Immune system,Pro-B cells,IGLL5,Pro-B,B_cell
19,Immune system,Pro-B cells,HLA-DQA1,Pro-B,B_cell
20,Immune system,Pro-B cells,HLA-DQB1,Pro-B,B_cell
21,Immune system,Pro-B cells,VPREB3,Pro-B,B_cell
22,Immune system,Pro-B cells,IGLL5,Pro-B,B_cell
23,Immune system,Pre-B cells,CD19,Pre-B,B_cell
24,Immune system,Pre-B cells,CD27,Pre-B,B_cell
25,Immune system,Pre-B cells,IgD,Pre-B,B_cell
26,Immune system,Pre-B cells,CD24,Pre-B,B_cell
27,Immune system,Pre-B cells,PTPRC,Pre-B,B_cell
28,Immune system,Pre-B cells,PAX5,Pre-B,B_cell
29,Immune system,Pre-B cells,CD24,Pre-B,B_cell
30,Immune system,Pre-B cells,CD38,Pre-B,B_cell
31,Immune system,Pre-B cells,CD79A,Pre-B,B_cell
32,Immune system,Pre-B cells,NSMCE1,Pre-B,B_cell
33,Immune system,Pre-B cells,PCDH9,Pre-B,B_cell
34,Immune system,Pre-B cells,ACSM3,Pre-B,B_cell
35,Immune system,Pre-B cells,CCDC191,Pre-B,B_cell
36,Immune system,Pre-B cells,TCL1A,Pre-B,B_cell
37,Immune system,Pre-B cells,CD79B,Pre-B,B_cell
38,Immune system,Pre-B cells,TCL1A,Pre-B,B_cell
39,Immune system,Pre-B cells,IGLL5,Pre-B,B_cell
40,Immune system,Pre-B cells,HLA-DQA1,Pre-B,B_cell
41,Immune system,Pre-B cells,HLA-DQB1,Pre-B,B_cell
42,Immune system,Pre-B cells,VPREB3,Pre-B,B_cell
43,Immune system,Pre-B cells,IGLL5,Pre-B,B_cell
44,Immune system,Naive B cells,CD19,Naive B,B_cell
45,Immune system,Naive B cells,IgD,Naive B,B_cell
46,Immune system,Naive B cells,CD38,Naive B,B_cell
47,Immune system,Naive B cells,CD24,Naive B,B_cell
48,Immune system,Naive B cells,CD20,Naive B,B_cell
49,Immune system,Naive B cells,MS4A1,Naive B,B_cell
50,Immune system,Naive B cells,PTPRC,Naive B,B_cell
51,Immune system,Naive B cells,PAX5,Naive B,B_cell
52,Immune system,Naive B cells,CD24,Naive B,B_cell
53,Immune system,Naive B cells,CD38,Naive B,B_cell
54,Immune system,Naive B cells,CD79A,Naive B,B_cell
55,Immune system,Naive B cells,JCHAIN,Naive B,B_cell
56,Immune system,Naive B cells,SSR4,Naive B,B_cell
57,Immune system,Naive B cells,FKBP11,Naive B,B_cell
58,Immune system,Naive B cells,SEC11C,Naive B,B_cell
59,Immune system,Naive B cells,DERL3,Naive B,B_cell
60,Immune system,Naive B cells,PRDX4,Naive B,B_cell
61,Immune system,Naive B cells,IGLL5,Naive B,B_cell
62,Immune system,Naive B cells,CD79B,Naive B,B_cell
63,Immune system,Naive B cells,TCL1A,Naive B,B_cell
64,Immune system,Naive B cells,IGLL5,Naive B,B_cell
65,Immune system,Naive B cells,HLA-DQA1,Naive B,B_cell
66,Immune system,Naive B cells,HLA-DQB1,Naive B,B_cell
67,Immune system,Naive B cells,CD138,Naive B,B_cell
68,Immune system,Naive B cells,CD38,Naive B,B_cell
69,Immune system,Naive B cells,VPREB3,Naive B,B_cell
70,Immune system,Naive B cells,IGLL5,Naive B,B_cell
71,Immune system,Memory B cells,CD19,Memory B,B_cell
72,Immune system,Memory B cells,CD27,Memory B,B_cell
73,Immune system,Memory B cells,IgD,Memory B,B_cell
74,Immune system,Memory B cells,CD38,Memory B,B_cell
75,Immune system,Memory B cells,CD24,Memory B,B_cell
76,Immune system,Memory B cells,CD20,Memory B,B_cell
77,Immune system,Memory B cells,MS4A1,Memory B,B_cell
78,Immune system,Memory B cells,PTPRC,Memory B,B_cell
79,Immune system,Memory B cells,PAX5,Memory B,B_cell
80,Immune system,Memory B cells,CD24,Memory B,B_cell
81,Immune system,Memory B cells,CD38,Memory B,B_cell
82,Immune system,Memory B cells,CD79A,Memory B,B_cell
83,Immune system,Memory B cells,JCHAIN,Memory B,B_cell
