"","s161_P3_258","s180_P2_392","s201_P2_195","s217_P2_360","s220_P3_264","s243_P2_408","s259_P1_379","s282_P2_631","s284_P2_534","s295_P2_794","s306_P2_685","s332_P2_760","s358_P2_865","s359_P2_950","s364_P2_972","s486_P3_279","s697_P2_870","s732_P2_199","s735_P2_479","s738_P2_114"
"AAK1",1.2923105185937,0.488501273012416,1.36280849146998,0.459271523858787,1.84053734091108,0.897175805796634,0.467522218074715,0.416062532675168,0.463413422373536,1.57829831819597,0.44833990597536,1.01034280401842,1.05677583766514,0.922809421173366,0.660133694483172,0.433951995361342,2.03115152264258,0.551488192716124,0.23507773028253,0.268896078401898
"AAMP",1.87465519589169,1.07500129272902,2.00865823483297,0.781241465980348,2.10269323937193,0.995476231358301,1.03649097277363,1.92226329776384,1.51792304571316,0.845593358052303,0.627118523696293,1.58442505403427,2.11308028015778,0.971745302051284,1.53558945843187,0.976223813565632,3.02642640865302,1.10414176727822,1.93417448729873,0.516189007528785
"AATK",0.0066656496850192,0.0431926145616481,0.0635436915954236,0.0114988414828866,0.00199969490550576,0.0264728927958488,0.00743596391010276,0.0166733201501856,0.453930076984839,0.022292962354399,0.00608397047190225,0.00287471037072165,0.00199969490550576,0.0348327536787485,0.035151829393213,0.0402459451901031,0.00866534459052496,0.0111464811771995,0.045967776898817,0.0413958293383918
"ABCA1",0.364893941525041,0.660827966824148,1.02304920073069,0.53402235864546,0.301813714394592,0.979629957208961,1.6481968108574,0.437758471090585,0.136976993456007,1.45044349267792,0.0928437044742635,0.574934556266347,0.546747151845588,0.985963771587467,3.03036546049455,1.18999980294335,0.404140558734803,0.344137247898838,1.03720388664711,0.295186307949019
"ABCA10",0,0.00553129901101218,0.00274912613899583,0.000536483475068716,0,0.00553087355919994,0.00641462765765693,0,0.0290121783146094,0,0.0164952150216648,0.00107296695013743,0,0.000425451812246149,0,0.00214593390027487,0.00271997671626702,0.000850903624492298,0,0.00160945042520615
"ABCA12",0.756567409902417,0.586089155459917,0.63588593400363,0.091319400684763,0.356687397670384,0.263638720449098,0.739950449423754,0.559248008573111,3.32722463139405,0.196039048539073,0,0.00399938981101152,0.0069665507357497,0.399514060988248,0.477776863613939,0.0339948133935979,3.80245206976366,0.210910976359278,0.0379461768935258,0.0139978643385403
"ABCA13",0.213370743923471,0.17682884025737,0.0162829275196396,0.243012002956623,0.00795170474248961,0.288630300549126,3.10503564523763,0.00643740405183108,0.0377705975268257,0.120928110111492,0.056602557568271,0,0.00596377855686721,0.0889859765736458,0.0441965175533075,0.0177028611425355,0.345236514236424,0.0011408312274669,0.0147321725177692,0.0112654570907044
"ABCA2",0.0744540671430761,0.201602125338671,1.31599342786009,0.558501885740161,0.112745155697042,0.10584089816365,0.439948638564852,0.419783979869449,0.323768829119319,1.13352335513228,0.518779520391449,0.648263837353689,0.293136298637597,0.846272663120882,0.0638415335331772,1.18228321267073,0.666257112525657,0.117295590409465,0.480482647523668,1.17056192634143
"ABCA3",0.478829231695158,0.103090600940003,2.77600500206519,0.161991481425189,0.1523073373148,0.209760736634868,0.0724317027561533,0.256836234798486,0.0198208178697342,1.9342653205079,0.0636521024220741,0.989580780003459,2.24705586906449,0.435296482934409,0.940148869107647,1.58443112581287,0.219131659961198,0.165374505674589,0.5955502876284,0.966073549846592
"ABCA4",0.529981427774596,0.00574942074144331,0.746540099987749,0.544784267535626,0.2703986876401,0.0482957091701979,0.677895906401484,0.0501591652973978,0.000675996719100251,0.0511704195409196,0.0279957286770806,0.358080707817534,0.00473197703370175,0.16673377644393,0.0959846888993079,0.0627003499318944,2.62385287332542,0.0402459451901031,0.00799877962202304,0.0529457855916977
"ABCA5",0.058182392600812,0.288441205725402,0.226091286406385,0.164334568702723,0.0536190676909444,0.298520337860059,0.411188379135204,0.168973725777904,0.744962791535887,0.0697839750841698,0.346011272461427,0.0483728705168118,0.142603903433363,0.141894858048646,0.0362103977915498,0.147105875093996,0.637724656153998,0.199272017740351,0.0136786789346346,0.0523487228880566
"ABCA6",0,0.00363280516085347,0,0,0,0.00136230193532005,0.00889963516804567,0,0.00795803181207973,0,0.00541755617338293,0,0,0.000454100645106684,0,0,0,0,0.000386940659480247,0
"ABCA7",0.177776823655064,0.188305163265644,0.699034922739529,0.0774330807324236,0.229127292617677,0.201180766667294,0.234825563163291,0.187624674652364,0.0820155964800422,0.187233805765932,0.233917997598964,0.0638177718369224,0.175943614708043,0.947429816971353,0.326398112610948,0.0987043949892943,0.214890026531507,0.209229091760274,0.32004968695518,0.065519579085907
"ABCA8",0.000715906950972245,0.00436272973267618,0.0310553617239999,0.00104320094051233,0.000715906950972245,0.00219124191671393,0.00503180793338864,0.0070165695258859,0,0,0.00419667050324323,0.00104320094051233,0.0104551051119987,0.0182908340293316,0.00705460311595188,1.14765873708771,0,0.00365816680586633,0,0.00208640188102465
"ABCA9",0.00114988414828866,0.0153556571793787,0.00975317103004958,0.00202799015730075,0,0.00400272263585403,0.00976013758078532,0.00221321325833422,0.00344965244486598,0.00066656496850192,0,0.000675996719100251,0.00655203987694879,0.00466595477951344,0.0175487413033535,0.00743596391010276,0.000574942074144331,0.00399938981101152,0.00139331014714994,0.000675996719100251
"ABCB1",0.00387766288217703,0.00885143057126774,0.00662642061874134,0.0250982870042718,0.00852915251028741,0.03862361963548,0.100058951342994,0.0148308059570697,0.00465226500561132,0.0056327285453522,0.00463849443311894,0.0102674810472021,0.0131814175158987,0.00643740405183108,0.0324694610318326,0.0148308059570697,0.00542764250654654,0.00885143057126774,0.000662642061874134,0.00912664981973521
"ABCB11",0.00155264629255181,0,0.000410435865931579,0,0.000517548764183938,0.0481062548641735,0.00533566625711053,0,0.000517548764183938,0,0.00492523039117895,0.001768065438413,0.00207019505673575,0.00087465917934861,0.0201113574306474,0.000442016359603251,0.0108685240478627,0.0113705693315319,0,0
