"","s201_P2_195","s332_P2_760","s486_P3_279","s697_P2_870","s738_P2_114"
"AAK1",1.362808491,1.010342804,0.433951995,2.031151523,0.268896078
"AAMP",2.008658235,1.584425054,0.976223814,3.026426409,0.516189008
"AATK",0.063543692,0.00287471,0.040245945,0.008665345,0.041395829
"ABCA1",1.023049201,0.574934556,1.189999803,0.404140559,0.295186308
"ABCA10",0.002749126,0.001072967,0.002145934,0.002719977,0.00160945
"ABCA12",0.635885934,0.00399939,0.033994813,3.80245207,0.013997864
"ABCA13",0.016282928,0,0.017702861,0.345236514,0.011265457
"ABCA2",1.315993428,0.648263837,1.182283213,0.666257113,1.170561926
"ABCA3",2.776005002,0.98958078,1.584431126,0.21913166,0.96607355
"ABCA4",0.7465401,0.358080708,0.06270035,2.623852873,0.052945786
"ABCA5",0.226091286,0.048372871,0.147105875,0.637724656,0.052348723
"ABCA6",0,0,0,0,0
"ABCA7",0.699034923,0.063817772,0.098704395,0.214890027,0.065519579
"ABCA8",0.031055362,0.001043201,1.147658737,0,0.002086402
"ABCA9",0.009753171,0.000675997,0.007435964,0.000574942,0.000675997
"ABCB1",0.006626421,0.010267481,0.014830806,0.005427643,0.00912665
"ABCB11",0.000410436,0.001768065,0.000442016,0.010868524,0
"ABCB4",0.007878912,0.010041537,0.010041537,0.001578788,0.012358815
"ABCB5",0,0,0,0,0
"ABCB6",0.79736144,0.15740051,0.160433155,2.203269659,0.267659089
"ABCC1",0.007584118,0.012124703,0.007511795,0.100295112,0.003258784
"ABCC10",0.000557763,0.000152023,0.000177099,0.000315336,0.00014889
"ABCC11",8.61e-06,8.8e-05,7.33e-06,0.00086022,0
"ABCC2",9.27e-05,0.000700986,0.000304375,0.013923849,0.000101458
"ABCC3",0.08990704,0.016196006,0.037947287,0.060280599,0.007156846
"ABCC4",0.001839117,0.004642971,0.006263245,0.004293937,0.017001871
"ABCC5",0.005825977,0.006471166,0.007331432,0.0443889,0.003554869
"ABCC6",0.004564358,0.001451001,0.002701989,5.95e-05,0.00013124
"ABCC8",5.02e-07,1.08e-06,3.24e-06,6.33e-07,5.41e-07
"ABCC9",0.000631705,0.001114252,0.000153257,2.31e-05,1.35e-05
"ABCG1",0.021277859,0.015581271,0.061475197,0.086562903,0.221537347
"ABCG2",0.010677584,0.038255724,0.01299251,0.123290152,0.019488765
"ABCG4",0.000127526,3.25e-05,0.000113804,0.000262648,8.13e-05
"ABCG5",0,0,0,0,0
"ABCG8",1.46e-06,0,0,0,0
"ABHD2",2.565541066,4.911600802,1.324664093,6.967304818,0.41003804
"ABI1",2.608162434,1.124648277,0.680111996,1.999359077,0.292409011
"ACE",0.008770654,0.005314164,0.006448245,0.001475554,0.00839244
"ACE2",4.03e-05,2.5e-06,0,3.21e-05,1.25e-06
"ACHE",3.37e-05,1.08e-05,0.00013592,4.47e-05,0.001711887
