"","s161_P3_258","s217_P2_360","s220_P3_264","s243_P2_408","s259_P1_379","s282_P2_631","s284_P2_534","s295_P2_794","s306_P2_685","s364_P2_972","s732_P2_199"
"AAK1",1.292310519,0.459271524,1.840537341,0.897175806,0.467522218,0.416062533,0.463413422,1.578298318,0.448339906,0.660133694,0.551488193
"AAMP",1.874655196,0.781241466,2.102693239,0.995476231,1.036490973,1.922263298,1.517923046,0.845593358,0.627118524,1.535589458,1.104141767
"AATK",0.00666565,0.011498841,0.001999695,0.026472893,0.007435964,0.01667332,0.453930077,0.022292962,0.00608397,0.035151829,0.011146481
"ABCA1",0.364893942,0.534022359,0.301813714,0.979629957,1.648196811,0.437758471,0.136976993,1.450443493,0.092843704,3.03036546,0.344137248
"ABCA10",0,0.000536483,0,0.005530874,0.006414628,0,0.029012178,0,0.016495215,0,0.000850904
"ABCA12",0.75656741,0.091319401,0.356687398,0.26363872,0.739950449,0.559248009,3.327224631,0.196039049,0,0.477776864,0.210910976
"ABCA13",0.213370744,0.243012003,0.007951705,0.288630301,3.105035645,0.006437404,0.037770598,0.12092811,0.056602558,0.044196518,0.001140831
"ABCA2",0.074454067,0.558501886,0.112745156,0.105840898,0.439948639,0.41978398,0.323768829,1.133523355,0.51877952,0.063841534,0.11729559
"ABCA3",0.478829232,0.161991481,0.152307337,0.209760737,0.072431703,0.256836235,0.019820818,1.934265321,0.063652102,0.940148869,0.165374506
"ABCA4",0.529981428,0.544784268,0.270398688,0.048295709,0.677895906,0.050159165,0.000675997,0.05117042,0.027995729,0.095984689,0.040245945
"ABCA5",0.058182393,0.164334569,0.053619068,0.298520338,0.411188379,0.168973726,0.744962792,0.069783975,0.346011272,0.036210398,0.199272018
"ABCA6",0,0,0,0.001362302,0.008899635,0,0.007958032,0,0.005417556,0,0
"ABCA7",0.177776824,0.077433081,0.229127293,0.201180767,0.234825563,0.187624675,0.082015596,0.187233806,0.233917998,0.326398113,0.209229092
"ABCA8",0.000715907,0.001043201,0.000715907,0.002191242,0.005031808,0.00701657,0,0,0.004196671,0.007054603,0.003658167
"ABCA9",0.001149884,0.00202799,0,0.004002723,0.009760138,0.002213213,0.003449652,0.000666565,0,0.017548741,0.00399939
"ABCB1",0.003877663,0.025098287,0.008529153,0.03862362,0.100058951,0.014830806,0.004652265,0.005632729,0.004638494,0.032469461,0.008851431
"ABCB11",0.001552646,0,0.000517549,0.048106255,0.005335666,0,0.000517549,0,0.00492523,0.020111357,0.011370569
"ABCB4",0.004736363,0.015448518,0.000789394,0.029884712,0.02026006,0.074152888,0.001578788,0.005433584,0.001125559,0.013506707,0.378540585
"ABCB5",0,0,0,0.001609175,0.000780729,0,0,0,0,0,0
"ABCB6",0.355627039,0.27685574,0.25852206,0.212636467,1.144926091,0.255083445,0.608653377,0.127157768,0.689985384,0.367444866,0.394880873
"ABCC1",0.017953796,0.004704915,0.015927424,0.001660528,0.016123572,0.009414012,0.030423025,0.011413236,0.00635362,0.009123132,0.003046321
"ABCC10",0.000162187,0.000204266,0.000325666,0.000114061,9.01e-05,0.000432562,0.000144549,0.000321447,0.000147495,0.000941978,0.000319965
"ABCC11",2e-05,8.07e-05,4e-05,0.000150811,0.000146303,2.93e-05,0.000180046,0.000234595,0.000120478,6.88e-05,0.000117297
"ABCC2",0.000228225,0.000258258,4.03e-05,0.005077239,0.000357417,2.77e-05,0.02519913,7.61e-05,3.53e-05,0.000445668,3.04e-05
"ABCC3",0.080902278,0.015904102,0.039030302,0.062219967,0.011708539,0.052360983,0.150194805,0.069214404,0.02270146,0.028697921,0.035539793
"ABCC4",0.004704512,0.002021939,0.006233667,0.002114395,0.001105466,0.03420064,0.004283541,0.001540407,0.00317051,0.001686897,0.00364307
"ABCC5",0.00218205,0.008483325,0.004098727,0.004223658,0.011251574,0.018453204,0.0012876,0.005017752,0.003160557,0.006049501,0.006065035
"ABCC6",0.000330052,0.003368806,3.05e-05,5.89e-05,0.000491249,0.003300989,0.000841229,0.008385607,1.23e-05,0.001501467,0.002296651
"ABCC8",0,4.87e-06,0,7.49e-06,1.61e-05,1.35e-05,0,0,0,0,0
"ABCC9",0.000552194,2.27e-05,7.69e-05,5.28e-05,0.000105226,5.41e-05,2.95e-05,3.01e-05,1.09e-05,0.002215684,4.62e-05
"ABCG1",0.021640532,0.092354727,0.02009478,0.089338381,0.141298281,0.094054502,0.288282035,0.018774008,0.02593239,0.042555718,0.853199017
"ABCG2",0.020992858,0.049804622,0.005419347,0.025533955,0.075170189,0.016601541,0.058596693,0.038665703,0.00384393,0.08542067,0.011672665
"ABCG4",4.04e-05,6.5e-05,6.06e-05,0.00016638,0.000240883,3.25e-05,4.04e-05,5.55e-05,2.83e-05,0.000155865,4.16e-05
"ABCG5",0,1.94e-05,0,0,0,6.48e-06,0,0,0,0,0
"ABCG8",0,1.2e-06,0,0,0,0,0,0,0,0,0
"ABHD2",5.725308049,2.684364879,6.434599251,1.538439455,1.863308778,1.113401349,15.48633125,5.313431513,1.99132081,2.908283588,2.247709311
"ABI1",0.816189024,0.463630973,0.906242704,0.67926978,1.647351512,0.897423421,0.862658407,1.102685311,0.610420038,1.140624622,1.097753037
"ACE",0.001893995,0.00479568,0.004118359,0.015381627,0.007039127,0.005703003,0.002048157,0.00207986,0.002352643,0.008563603,0.003359713
"ACE2",3.85e-05,0.000173733,3.21e-06,0.001168286,0.000177568,2.75e-05,0.000223375,0.000284414,7.46e-06,0.00041333,1.97e-05
"ACHE",7.12e-05,0.001561061,1.26e-05,0.000468082,2.57e-05,0.000235505,0.000209489,9.78e-05,9.9e-06,0.000100981,1.15e-06
"ACKR1",0,0,6.06e-05,0,0,0,0,0,0,0,0
"ACKR2",2.1e-05,0.001388833,0.003078338,0.000104225,0.005084589,0.000493401,0.000356391,0.011199681,3.58e-05,0.02926133,0.002710078
"ACKR3",0.000117747,0.000126744,0.000103029,0.000332055,0.005147259,0.000549224,0.000198698,4.64e-05,3.34e-05,0.000258122,0.000260645
"ACKR4",5.97e-05,3.62e-06,2.98e-06,5.14e-06,1.4e-05,0.000406234,0,0,0,6.98e-06,0
