"","s161_P3_258","s180_P2_392","s201_P2_195","s217_P2_360","s220_P3_264","s259_P1_379","s282_P2_631","s295_P2_794","s332_P2_760","s359_P2_950","s364_P2_972","s697_P2_870"
"AAK1",1.292310519,0.488501273,1.362808491,0.459271524,1.840537341,0.467522218,0.416062533,1.578298318,1.010342804,0.922809421,0.660133694,2.031151523
"AAMP",1.874655196,1.075001293,2.008658235,0.781241466,2.102693239,1.036490973,1.922263298,0.845593358,1.584425054,0.971745302,1.535589458,3.026426409
"AATK",0.00666565,0.043192615,0.063543692,0.011498841,0.001999695,0.007435964,0.01667332,0.022292962,0.00287471,0.034832754,0.035151829,0.008665345
"ABCA1",0.364893942,0.660827967,1.023049201,0.534022359,0.301813714,1.648196811,0.437758471,1.450443493,0.574934556,0.985963772,3.03036546,0.404140559
"ABCA10",0,0.005531299,0.002749126,0.000536483,0,0.006414628,0,0,0.001072967,0.000425452,0,0.002719977
"ABCA12",0.75656741,0.586089155,0.635885934,0.091319401,0.356687398,0.739950449,0.559248009,0.196039049,0.00399939,0.399514061,0.477776864,3.80245207
"ABCA13",0.213370744,0.17682884,0.016282928,0.243012003,0.007951705,3.105035645,0.006437404,0.12092811,0,0.088985977,0.044196518,0.345236514
"ABCA2",0.074454067,0.201602125,1.315993428,0.558501886,0.112745156,0.439948639,0.41978398,1.133523355,0.648263837,0.846272663,0.063841534,0.666257113
"ABCA3",0.478829232,0.103090601,2.776005002,0.161991481,0.152307337,0.072431703,0.256836235,1.934265321,0.98958078,0.435296483,0.940148869,0.21913166
"ABCA4",0.529981428,0.005749421,0.7465401,0.544784268,0.270398688,0.677895906,0.050159165,0.05117042,0.358080708,0.166733776,0.095984689,2.623852873
"ABCA5",0.058182393,0.288441206,0.226091286,0.164334569,0.053619068,0.411188379,0.168973726,0.069783975,0.048372871,0.141894858,0.036210398,0.637724656
"ABCA6",0,0.003632805,0,0,0,0.008899635,0,0,0,0.000454101,0,0
"ABCA7",0.177776824,0.188305163,0.699034923,0.077433081,0.229127293,0.234825563,0.187624675,0.187233806,0.063817772,0.947429817,0.326398113,0.214890027
"ABCA8",0.000715907,0.00436273,0.031055362,0.001043201,0.000715907,0.005031808,0.00701657,0,0.001043201,0.018290834,0.007054603,0
"ABCA9",0.001149884,0.015355657,0.009753171,0.00202799,0,0.009760138,0.002213213,0.000666565,0.000675997,0.004665955,0.017548741,0.000574942
"ABCB1",0.003877663,0.008851431,0.006626421,0.025098287,0.008529153,0.100058951,0.014830806,0.005632729,0.010267481,0.006437404,0.032469461,0.005427643
"ABCB11",0.001552646,0,0.000410436,0,0.000517549,0.005335666,0,0,0.001768065,0.000874659,0.020111357,0.010868524
"ABCB4",0.004736363,0.02354553,0.007878912,0.015448518,0.000789394,0.02026006,0.074152888,0.005433584,0.010041537,0.014489557,0.013506707,0.001578788
"ABCB5",0,0,0,0,0,0.000780729,0,0,0,0,0,0
"ABCB6",0.355627039,0.588018347,0.79736144,0.27685574,0.25852206,1.144926091,0.255083445,0.127157768,0.15740051,0.457804142,0.367444866,2.203269659
"ABCC1",0.017953796,0.007090454,0.007584118,0.004704915,0.015927424,0.016123572,0.009414012,0.011413236,0.012124703,0.004784465,0.009123132,0.100295112
"ABCC10",0.000162187,0.000164427,0.000557763,0.000204266,0.000325666,9.01e-05,0.000432562,0.000321447,0.000152023,0.000179982,0.000941978,0.000315336
"ABCC11",2e-05,0.000335118,8.61e-06,8.07e-05,4e-05,0.000146303,2.93e-05,0.000234595,8.8e-05,0,6.88e-05,0.00086022
"ABCC2",0.000228225,0.006975476,9.27e-05,0.000258258,4.03e-05,0.000357417,2.77e-05,7.61e-05,0.000700986,5.71e-05,0.000445668,0.013923849
"ABCC3",0.080902278,0.073780842,0.08990704,0.015904102,0.039030302,0.011708539,0.052360983,0.069214404,0.016196006,0.065481073,0.028697921,0.060280599
"ABCC4",0.004704512,0.000612063,0.001839117,0.002021939,0.006233667,0.001105466,0.03420064,0.001540407,0.004642971,0.003187426,0.001686897,0.004293937
"ABCC5",0.00218205,0.008792569,0.005825977,0.008483325,0.004098727,0.011251574,0.018453204,0.005017752,0.006471166,0.004263938,0.006049501,0.0443889
"ABCC6",0.000330052,0.000406363,0.004564358,0.003368806,3.05e-05,0.000491249,0.003300989,0.008385607,0.001451001,0.000374971,0.001501467,5.95e-05
"ABCC8",0,1.6e-05,5.02e-07,4.87e-06,0,1.61e-05,1.35e-05,0,1.08e-06,0,0,6.33e-07
"ABCC9",0.000552194,7.43e-05,0.000631705,2.27e-05,7.69e-05,0.000105226,5.41e-05,3.01e-05,0.001114252,3e-05,0.002215684,2.31e-05
"ABCG1",0.021640532,0.130770674,0.021277859,0.092354727,0.02009478,0.141298281,0.094054502,0.018774008,0.015581271,0.16572917,0.042555718,0.086562903
"ABCG2",0.020992858,0.042313411,0.010677584,0.049804622,0.005419347,0.075170189,0.016601541,0.038665703,0.038255724,0.010578353,0.08542067,0.123290152
"ABCG4",4.04e-05,1.39e-05,0.000127526,6.5e-05,6.06e-05,0.000240883,3.25e-05,5.55e-05,3.25e-05,0,0.000155865,0.000262648
"ABCG5",0,0,0,1.94e-05,0,0,6.48e-06,0,0,0,0,0
"ABCG8",0,0,1.46e-06,1.2e-06,0,0,0,0,0,0,0,0
"ABHD2",5.725308049,5.551698137,2.565541066,2.684364879,6.434599251,1.863308778,1.113401349,5.313431513,4.911600802,4.032679272,2.908283588,6.967304818
"ABI1",0.816189024,0.700393874,2.608162434,0.463630973,0.906242704,1.647351512,0.897423421,1.102685311,1.124648277,0.920198128,1.140624622,1.999359077
"ACE",0.001893995,0.009119284,0.008770654,0.00479568,0.004118359,0.007039127,0.005703003,0.00207986,0.005314164,0.006170944,0.008563603,0.001475554
"ACE2",3.85e-05,0.000464908,4.03e-05,0.000173733,3.21e-06,0.000177568,2.75e-05,0.000284414,2.5e-06,9.68e-05,0.00041333,3.21e-05
"ACHE",7.12e-05,0.000246118,3.37e-05,0.001561061,1.26e-05,2.57e-05,0.000235505,9.78e-05,1.08e-05,0.00014376,0.000100981,4.47e-05
"ACKR1",0,0,0,0,6.06e-05,0,0,0,0,0,0,0
"ACKR2",2.1e-05,0.001354948,7.15e-05,0.001388833,0.003078338,0.005084589,0.000493401,0.011199681,7.31e-05,7.82e-05,0.02926133,0.000377355
"ACKR3",0.000117747,0.000121396,0.00076222,0.000126744,0.000103029,0.005147259,0.000549224,4.64e-05,0.000137306,0.001210565,0.000258122,0.036354401
"ACKR4",5.97e-05,0.000635737,1.4e-05,3.62e-06,2.98e-06,1.4e-05,0.000406234,0,7.25e-06,8.18e-05,6.98e-06,5.97e-06
"ACTN1",0.00998408,0.016675887,0.023998462,0.041734306,0.014604277,0.022194573,0.111183267,0.01374506,0.066932749,0.010002804,0.032513672,0.054723844
"ACVR1",0.003595296,0.002570597,0.006972239,0.001910357,0.003720592,0.004064986,0.003588259,0.003451431,0.005283067,0.004649845,0.004088856,0.00354657
"ACVR1B",0.040803141,0.037314148,0.053921789,0.017878338,0.032609034,0.015444044,0.065315189,0.032801263,0.033197474,0.031594759,0.046230395,0.103648184
"ACVR1C",0.000258029,0.000133493,0.000478482,4.85e-05,8.85e-05,0.000379596,0.000145555,0,0.000140331,7.08e-05,0.00052633,0.000306093
"ACVR2A",0.008972708,0.009379937,0.007727512,0.010510798,0.009019152,0.023541066,0.027417943,0.006093801,0.008677985,0.009927962,0.013074765,0.013714691
"ACVR2B",0.016105165,0.007900015,0.067658146,0.020379985,0.016779335,0.01787475,0.140343989,0.009683889,0.079555279,0.020387135,0.059616207,0.035359002
"ACVRL1",0.003723307,0.005233203,0.003515931,0.007954358,0.002351563,0.005231019,0.008890165,0.002415325,0.008656213,0.002918517,0.005488283,0.00940625
"ADA",2.49e-06,1.84e-05,0.00018364,1.46e-05,6.65e-06,5.8e-05,0.000147345,0,0.000236399,4.18e-05,7.73e-06,0.000371697
"ADAM10",0.004253483,0.003577972,0.017059393,0.004620392,0.009964436,0.018241838,0.012033044,0.007150484,0.01082948,0.007252204,0.018665941,0.009661862
"ADAM11",1.15e-06,1.88e-05,4.6e-05,2.7e-06,7.48e-06,1.71e-05,1.01e-05,9.42e-06,2.09e-05,3.3e-05,9.73e-05,2.13e-05
"ADAM12",3.19e-06,1.64e-06,1.61e-06,1.08e-06,2.19e-06,2.66e-06,4.16e-06,7.21e-07,2.35e-05,3.6e-07,3.94e-06,1.89e-06
